From,To,Type,SourceFile
"C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs","ALARM.Analyzers.SuggestionValidation","Using","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.BaseLearningRate","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.ErrorThresholdForAdaptation","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.AccuracyThresholdForRetraining","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.AdaptationCountForRetraining","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.RetrainingInterval","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.MaxHistorySize","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.MaxTrainingBufferSize","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.MinSamplesForRetraining","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.TrendAnalysisWindow","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.ErrorThresholdForOptimization","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.TrendThresholdForOptimization","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningConfig.MinSamplesForDriftDetection","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
